0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
BurnDe00,PHI,22,WR,1,1,4,2,50.0%,48,24.0,0,1,41,12.0,2.0,48.0,0,2019
CartCe00,CIN,24,TE,15,0,3,2,66.7%,13,6.5,1,2,8,4.3,0.1,0.9,0,2019
DaviRo00,2TM,24,WR,6,3,5,2,40.0%,17,8.5,0,2,11,3.4,0.3,2.8,0,2019
DuliAs00,IND,22,WR,13,0,2,2,100.0%,17,8.5,0,0,13,8.5,0.2,1.3,0,2019
ErviTy00,2TM,26,RB,10,0,4,2,50.0%,11,5.5,0,1,6,2.8,0.2,1.1,2,2019
GaffRi00,OAK,23,DB,4,1,2,2,100.0%,66,33.0,1,2,49,33.0,0.5,16.5,0,2019
HillWe00,DET,24,RB,1,1,2,2,100.0%,1,0.5,0,0,2,0.5,2.0,1.0,0,2019
HollAl00,MIN,23,WR,5,1,4,2,50.0%,46,23.0,0,2,35,11.5,0.4,9.2,0,2019
HollCo00,TEN,26,WR,5,0,2,2,100.0%,13,6.5,0,0,11,6.5,0.4,2.6,0,2019
HudsTa00,TAM,25,TE,9,1,5,2,40.0%,26,13.0,0,1,14,5.2,0.2,2.9,0,2019
HymaIs00,TAM,24,WR,2,1,4,2,50.0%,34,17.0,0,2,31,8.5,1.0,17.0,0,2019
JennDa00,TEN,27,WR,8,0,5,2,40.0%,17,8.5,0,2,11,3.4,0.3,2.1,0,2019
LogaT.00,TAM,25,FB,12,0,3,2,66.7%,13,6.5,0,1,11,4.3,0.2,1.1,0,2019
MitcSt02,HOU,25,WR,3,1,6,2,33.3%,37,18.5,0,2,21,6.2,0.7,12.3,0,2019
MoorJa02,LAC,24,WR,10,0,5,2,40.0%,43,21.5,0,2,32,8.6,0.2,4.3,0,2019
NautIs00,DET,22,TE,6,0,3,2,66.7%,13,6.5,0,1,10,4.3,0.3,2.2,0,2019
2019,,,,,,,,,,,,,,,,,,
NixxRo01,PIT,27,RB,3,0,3,2,66.7%,4,2.0,0,0,4,1.3,0.7,1.3,0,2019
OlszGu00,NWE,23,WR,8,0,4,2,50.0%,34,17.0,0,1,29,8.5,0.3,4.3,1,2019
PennEl00,NYG,26,RB,16,1,4,2,50.0%,9,4.5,0,0,9,2.3,0.1,0.6,0,2019
